Word,Appearance Frequency,Meaning,Category,Learning Point,Add Date,Importance,Done
train,25,訓練,強化学習,3,2024-10-06,1,0.0
bonus exploration,26,ボーナス探索,データ分析,5,2024-10-05,1,1.0
intrinsic reward,23,内的報酬,データ分析,5,2024-10-05,1,1.0
extrinsic reward,21,外的報酬,データ分析,4,2024-10-05,1,1.0
error prediction,18,誤差予測,データ分析,4,2024-10-05,1,1.0
deep reinforcement,11,深層強化学習,データ分析,4,2024-10-05,1,1.0
neural network,11,ニューラルネットワーク,データ分析,4,2024-10-05,1,1.0
parallel environment,10,並列環境,データ分析,3,2024-10-05,1,1.0
head value,10,ヘッダ値,データ分析,3,2024-10-05,1,1.0
problem prediction,9,問題予測,データ分析,3,2024-10-05,1,1.0
method exploration,8,手法探索,データ分析,3,2024-10-05,1,1.0
network target,7,ネットワークターゲット,データ分析,3,2024-10-05,1,1.0
network predictor,7,ネットワーク予測器,データ分析,3,2024-10-05,1,1.0
policy rnn,6,ポリシーRNN,データ分析,3,2024-10-05,1,1.0
novel state,5,小説の状態,データ分析,3,2024-10-05,1,1.0
mean return,5,平均リターン,データ分析,3,2024-10-05,1,1.0
international conference,5,国際会議,データ分析,3,2024-10-05,1,1.0
atari exploration,5,アタリ探索,データ分析,3,2024-10-05,1,1.0
performance art,5,パフォーマンスアート,データ分析,3,2024-10-05,1,1.0
normalization observation,5,正規化観察,データ分析,3,2024-10-05,1,1.0
grant funder,29,助成金提供者,認知科学,4,2024-10-05,1,1.0
international license,24,国際免許,認知科学,4,2024-10-05,1,1.0
causal induction,17,因果推論,認知科学,4,2024-10-05,1,1.0
extreme rarity,9,極端な希少性,認知科学,3,2024-10-05,1,1.0
table contingency,9,「分割表」,認知科学,3,2024-10-05,1,1.0
conditional probability,7,条件付き確率,認知科学,3,2024-10-05,1,1.0
induction causal,7,帰納的因果,認知科学,3,2024-10-05,1,1.0
theory stage,6,理論段階,認知科学,3,2024-10-05,1,1.0
rather than,6,むしろ,認知科学,3,2024-10-05,1,1.0
dfh model,5,dfhモデル,認知科学,3,2024-10-05,1,1.0
observational stage,5,観察段階,認知科学,3,2024-10-05,1,1.0
interventional stage,4,介入段階,認知科学,3,2024-10-05,1,1.0
psychological review,4,「心理学レビュー」,認知科学,3,2024-10-05,1,1.0
cause candidate,4,原因候補,認知科学,3,2024-10-05,1,1.0
index similarity,4,インデックス類似性,認知科学,3,2024-10-05,1,1.0
conditional event,3,条件付き事象,認知科学,3,2024-10-05,1,1.0
joint event,3,共同イベント,認知科学,3,2024-10-05,1,1.0
animacy,66,アニマシー,認知科学,3,2024-10-05,1,1.0
contingency,38,偶発性,認知科学,3,2024-10-05,1,1.0
movement,37,運動,認知科学,3,2024-10-05,1,1.0
condition,37,条件,認知科学,3,2024-10-05,1,1.0
degree,36,度,認知科学,3,2024-10-05,1,1.0
low,33,低い,認知科学,3,2024-10-05,1,1.0
rating,32,評価,認知科学,3,2024-10-05,1,1.0
object,29,対象,認知科学,3,2024-10-05,1,1.0
granger,28,グレンジャー,認知科学,3,2024-10-05,1,1.0
other,25,他者,認知科学,3,2024-10-05,1,1.0
causality,24,因果関係,認知科学,3,2024-10-05,1,1.0
high,21,高い,認知科学,3,2024-10-05,1,1.0
intention,19,意図,認知科学,3,2024-10-05,1,1.0
perception,18,認知,認知科学,3,2024-10-05,1,1.0
correlation,18,相関,認知科学,3,2024-10-05,1,1.0
red,17,赤,認知科学,3,2024-10-05,1,1.0
temporal,16,時間的,認知科学,3,2024-10-05,1,1.0
perceive,16,知覚,認知科学,3,2024-10-05,1,1.0
movie,16,映画,認知科学,3,2024-10-05,1,1.0
prioritize,51,優先順位をつける,強化学習,4,2024-10-06,1,0.0
dqn,35,dqn,強化学習,3,2024-10-06,1,0.0
see,33,見る,強化学習,3,2024-10-06,1,0.0
variant,26,変異体,強化学習,3,2024-10-06,1,0.0
