Word,Meaning,Pronounce,Example Sentence,Translated Sentence,Search Count,Category,Importance,Add Date,Done,Learning Point
drink,飲む,drɪŋk,毎朝コーヒーを飲むのが習慣だ。,It's my routine to drink coffee every morning.,3.0,強化学習,4,2024-07-05,0.0,2.0
sleep,眠る,sliːp,早く寝ることが健康に良い。,Going to sleep early is good for your health.,5.0,データ分析,4,2024-07-09,2.0,5.0
work,働く,wɜːrk,私はIT会社で働いている。,I work at an IT company.,4.0,その他,4,2024-07-13,2.0,4.0
play,遊ぶ、プレイする,pleɪ,子供たちは公園でサッカーをして遊んでいる。,The kids are playing soccer in the park.,3.0,認知科学,4,2024-07-17,2.0,3.0
swim,泳ぐ,swɪm,夏の間、私は毎日プールで泳ぐ。,I swim in the pool every day during summer.,2.0,強化学習,4,2024-07-21,2.0,2.0
cook,料理する,kʊk,彼女は毎晩夕食を作るのが得意だ。,She is good at cooking dinner every evening.,1.0,データ分析,4,2024-07-25,0.0,1.0
read,読む,riːd,彼は毎晩本を読む。,He reads a book every night.,17.0,その他,4,2024-07-29,2.0,14.0
watch,見る,wɑʧ,昨夜は映画を見た。,I watched a movie last night.,1.0,認知科学,4,2024-08-02,2.0,1.0
walk,歩く,wɔːk,彼は公園をゆっくりと歩いた。,He walked fly through the park.,1.0,強化学習,4,2024-08-06,2.0,1.0
drive,運転する,draɪv,父は毎日車で通勤している。,My father drives to work every day.,1.0,データ分析,4,2024-08-10,2.0,1.0
laugh,笑う,læf,その冗談でみんなが笑った。,Everyone laughed at the joke.,2.0,その他,4,2024-08-14,0.0,2.0
cry,泣く,kraɪ,悲しい映画を見て泣いてしまった。,I cried after watching a sad movie.,7.0,認知科学,4,2024-08-18,2.0,4.0
smile,微笑む,smaɪl,彼女はいつも優しく微笑んでいる。,She always smiles kindly.,2.0,強化学習,4,2024-08-18,2.0,2.0
dance,踊る,dæns,彼らは結婚式で踊って楽しんだ。,They enjoyed dancing at the wedding.,3.0,データ分析,4,2024-08-22,2.0,3.0
clean,掃除する,kliːn,毎週末に部屋を掃除する。,I clean my room every weekend.,3.0,その他,4,2024-08-22,2.0,3.0
open,開ける,ˈoʊpən,彼女は窓を開けて新鮮な空気を入れた。,She opened the window to let in fresh air.,3.0,認知科学,4,2024-08-24,0.0,3.0
close,閉じる,kloʊz,彼は本を閉じて寝る準備をした。,He closed the book and got ready for bed.,3.0,強化学習,4,2024-08-24,2.0,2.0
sit,座る,sɪt,私たちはテーブルに座って話をした。,We sat at the table and talked.,7.0,データ分析,4,2024-08-24,2.0,6.0
stand,立つ,stænd,長時間立ち続けるのは疲れる。,Standing for long periods can be tiring.,8.0,その他,4,2024-08-24,2.0,8.0
begin,始める,bɪˈgɪn,私たちはプロジェクトを今日始めるつもりだ。,We are going to begin the project today.,7.0,認知科学,4,2024-08-26,2.0,4.0
finish,終える,ˈfɪnɪʃ,彼女は仕事を早く終えた。,She finished her work early.,3.0,強化学習,4,2024-08-26,0.0,2.0
call,呼ぶ、電話をかける,kɔl,彼は友達に電話をかけた。,He called his friend.,7.0,データ分析,4,2024-08-26,2.0,6.0
slowly,ゆっくりと,ˈsloʊli,彼はゆっくりと階段を上った。,He walked up the stairs slowly.,2.0,その他,4,2024-08-26,2.0,2.0
carefully,慎重に,ˈkɛərfəli,彼女は慎重にガラスを運んだ。,She carried the glass carefully.,1.0,認知科学,4,2024-08-28,2.0,1.0
happily,幸せに,ˈhæpəli,彼らは幸せに暮らしている。,They are living happily.,2.0,強化学習,4,2024-08-28,2.0,1.0
angrily,怒って,ˈæŋgrəli,彼は怒って出て行った。,He left angrily.,5.0,データ分析,4,2024-08-28,0.0,5.0
beautifully,美しく,ˈbjuːtɪfəli,彼女は美しく歌った。,She sang beautifully.,7.0,その他,4,2024-08-28,2.0,7.0
easily,簡単に,ˈiːzɪli,この問題は簡単に解決できる。,This problem can be solved easily.,7.0,認知科学,4,2024-08-28,2.0,4.0
quickly,素早く,ˈkwɪkli,彼は素早く反応した。,He responded quickly.,2.0,強化学習,4,2024-08-28,2.0,2.0
loudly,大声で,ˈlaʊdli,彼女は大声で話した。,She spoke loudly.,6.0,データ分析,4,2024-08-28,2.0,6.0
quietly,静かに,ˈkwaɪətli,彼は静かに部屋に入った。,He entered the room quietly.,2.0,その他,4,2024-08-30,0.0,2.0
suddenly,突然に,ˈsʌdənli,彼は突然現れた。,He appeared suddenly.,6.0,認知科学,4,2024-08-30,2.0,5.0
gently,優しく,ˈʤɛntli,彼女は優しくドアを閉めた。,She gently closed the door.,2.0,強化学習,4,2024-08-30,2.0,2.0
clearly,はっきりと,ˈklɪərli,彼ははっきりと答えた。,He answered clearly.,5.0,データ分析,4,2024-08-31,2.0,5.0
badly,悪く,ˈbædli,彼女はその試合で悪くプレーした。,She played badly in the game.,9.0,その他,4,2024-08-31,2.0,9.0
eagerly,熱心に,ˈiːgərli,彼は新しいプロジェクトに熱心に取り組んだ。,He worked eagerly on the new project.,1.0,認知科学,4,2024-08-31,0.0,1.0
calmly,落ち着いて,ˈkɑːmli,彼は状況を落ち着いて処理した。,He handled the situation calmly.,1.0,強化学習,4,2024-08-31,2.0,1.0
boldly,大胆に,ˈboʊldli,彼女は大胆に提案した。,She boldly proposed her idea.,1.0,データ分析,4,2024-09-02,2.0,1.0
sadly,悲しく,ˈsædli,彼は悲しく言った。,He said sadly.,1.0,その他,4,2024-09-02,2.0,1.0
excitedly,興奮して,ɪkˈsaɪtɪdli,彼女は興奮してニュースを伝えた。,She shared the news excitedly.,1.0,認知科学,4,2024-09-04,2.0,1.0
freely,自由に,ˈfriːli,彼は自由に意見を述べた。,He expressed his opinion freely.,3.0,強化学習,4,2024-09-04,0.0,2.0
bravely,勇敢に,ˈbreɪvli,彼は勇敢に戦った。,He fought bravely.,2.0,データ分析,4,2024-09-04,2.0,1.0
easily,簡単に,ˈiːzɪli,彼女は問題を簡単に解決した。,She solved the problem easily.,0.0,その他,4,2024-09-04,2.0,0.0
happily,幸せに,ˈhæpəli,彼女は幸せに歌った。,She sang happily.,5.0,認知科学,4,2024-09-04,2.0,4.0
high,高く,haɪ,飛行機は空高く飛んでいる。,The airplane is flying high in the sky.,2.0,強化学習,4,2024-09-07,2.0,2.0
fast,速く,fæst,彼はとても速く走る。,He runs very fast.,2.0,データ分析,4,2024-09-07,0.0,2.0
dangerously,危険に,ˈdeɪnʤərəsli,彼は危険に車を運転した。,He drove dangerously.,9.0,その他,4,2024-09-07,2.0,9.0
bravely,勇敢に,ˈbreɪvli,彼女は勇敢にチャレンジに立ち向かった。,She bravely faced the challenge.,6.0,認知科学,4,2024-09-07,2.0,5.0
softly,やさしく,ˈsɔftli,彼はやさしく赤ちゃんに話しかけた。,He spoke softly to the baby.,3.0,強化学習,4,2024-09-07,2.0,2.0
strongly,強く,ˈstrɒŋli,彼は強く意見を主張した。,He strongly expressed his opinion.,3.0,データ分析,4,2024-09-07,2.0,3.0
warmly,暖かく,ˈwɔːrmli,彼女は暖かく歓迎された。,She was warmly welcomed.,1.0,その他,4,2024-09-07,0.0,1.0
seriously,真剣に,ˈsɪərɪəsli,彼は真剣に話をした。,He spoke seriously.,2.0,認知科学,4,2024-09-09,2.0,2.0
comfortably,快適に,ˈkʌmfərtəbli,彼女は快適に椅子に座った。,She sat comfortably in the chair.,2.0,強化学習,4,2024-09-09,2.0,2.0
lazily,怠惰に,ˈleɪzɪli,彼はソファに怠惰に横になった。,He lay lazily on the sofa.,6.0,データ分析,4,2024-09-10,2.0,6.0
beautiful,美しい,ˈbjuːtɪfəl,その花は美しい。,The flower is beautiful.,8.0,その他,4,2024-09-10,2.0,8.0
quick,速い,kwɪk,彼は速い反応を見せた。,He gave a quick response.,7.0,認知科学,4,2024-09-10,0.0,5.0
slow,遅い,sloʊ,彼の歩き方はとても遅い。,He walks very slowly.,2.0,強化学習,4,2024-09-10,2.0,2.0
smart,賢い,smɑːrt,彼はとても賢い学生だ。,He is a very smart student.,9.0,データ分析,4,2024-09-10,2.0,9.0
tall,背が高い,tɔːl,彼女は背が高い。,She is tall.,10.0,その他,4,2024-09-11,2.0,10.0
happy,幸せな,ˈhæpi,彼はとても幸せに見える。,He looks very happy.,8.0,認知科学,4,2024-09-11,2.0,4.0
angry,怒っている,ˈæŋgri,彼は怒っているようだ。,He seems angry.,3.0,強化学習,4,2024-09-11,0.0,2.0
sad,悲しい,sæd,彼女は悲しそうだ。,She looks sad.,5.0,データ分析,4,2024-09-13,2.0,5.0
brave,勇敢な,breɪv,彼は勇敢な兵士だ。,He is a brave soldier.,3.0,その他,3,2024-09-15,2.0,3.0
strong,強い,strɔŋ,彼はとても強い。,He is very strong.,1.0,認知科学,3,2024-09-15,2.0,1.0
weak,弱い,wiːk,彼女は少し弱っている。,She is feeling a bit weak.,2.0,強化学習,3,2024-09-15,2.0,2.0
hot,暑い,hɒt,今日はとても暑い。,It is very hot today.,4.0,データ分析,2,2024-09-22,0.0,4.0
cold,寒い,koʊld,今日はとても寒い。,It is very cold today.,6.0,その他,2,2024-09-22,2.0,6.0
kind,優しい,kaɪnd,彼女はとても優しい。,She is very kind.,7.0,認知科学,2,2024-09-22,2.0,7.0
fast,速い,fæst,彼は速いランナーだ。,He is a fast runner.,4.0,強化学習,2,2024-09-22,2.0,4.0
best,最高の、最良の,bɛst,彼は最高の友達です。,He is the best friend.,13.0,認知科学,2,2024-09-22,2.0,7.0
search,検索すること。情報を探すこと。,サーチ,I used the search function to find the article I was looking for.,私は探していた記事を見つけるために検索機能を使いました。,3.0,強化学習,2,2024-09-23,0.0,3.0
Enter,入る、参加する、訪れる、到着する,ˈɛntər,Enter your username and password to log in.,ユーザー名とパスワードを入力してログインしてください。,6.0,認知科学,2,2024-09-24,2.0,6.0
cat,猫,キャット (kyatto),I have a cat named Mochi.,私はモチという名前の猫を飼っています。,3.0,その他,2,2024-09-25,2.0,3.0
word,家族,かぞく (kazoku),My family is very important to me.,私の家族は私にとってとても大切です。,3.0,強化学習,2,2024-09-26,2.0,3.0
reward,報酬や褒美を意味する,rɪˈwɔːrd,He received a reward for his hard work.,彼は自分の努力に報いられて報酬を受け取った。,3.0,強化学習,2,2024-09-27,2.0,3.0
policy,政策,ˈpɒləsi,彼は新しい経済政策を導入することを約束しました。,He promised to introduce a new economic policy.,4.0,強化学習,1,2024-10-06,0.0,4.0
popular,人気のある、広く知られている,ˈpɒpjələr,その映画はとても人気があります。,That movie is very popular.,6.0,データ分析,1,2024-09-29,2.0,6.0
social information,社会情報,/ˈsoʊʃəl ˌɪnfərˈmeɪʃən/,Social information plays a crucial role in decision-making.,社会情報は意思決定において重要な役割を果たす。,3.0,強化学習,1,2024-09-30,2.0,3.0
chrome,ChromeはGoogleが開発したウェブブラウザの名称です。,kroʊm,I prefer using Chrome over other web browsers.,他のウェブブラウザよりもChromeを使う方が好きです。,36.0,その他,1,2024-10-01,2.0,36.0
recycle,リサイクルする、再利用する,rɪˈsaɪkəl,地球を守るために、リサイクルすることが重要です。,Recycling is important to protect the Earth.,17.0,データ分析,1,2024-10-02,2.0,16.0
reuse,リユース,rɪˈjuːz,この袋はリユースできます。,This bag can be reused.,3.0,データ分析,1,2024-10-03,0.0,3.0
representative,代表者,ˌreprɪˈzentətɪv,彼は我々の代表者です。,He is our representative.,6.0,認知科学,1,2024-10-04,0.0,6.0
research,論文,rɪˈsɜːrtʃ,研究は科学の進歩に不可欠です。,Research is essential for the advancement of science.,3.0,その他,1,2024-10-04,0.0,3.0
general,一般的な、普遍的な,ˈdʒɛnərəl,General knowledge is important for everyone.,一般的な知識は誰にとっても重要です。,6.0,その他,1,2024-10-05,0.0,6.0
administrate,管理する、運営する,ədˈmɪnɪˌstreɪt,The committee was formed to administrate the new project.,その委員会は新しいプロジェクトを管理するために結成されました。,6.0,認知科学,1,2024-10-05,0.0,6.0
host,ホスト、主催者、案内役,hoʊst,彼はパーティーのホストとして素晴らしい仕事をした。,He did a great job as the host of the party.,1.0,その他,1,2024-10-06,0.0,1.0
round shoulders,猫背,raʊnd ˈʃoʊldərz,猫背を直すためには、背筋を伸ばすことが重要です。,"To correct round shoulders, it is important to straighten your back.",1.0,その他,1,2024-10-06,0.0,1.0
field,分野,fiːld,分野を選ぶ際には、自分の興味に合ったものを選ぶと良いです。,It is good to choose a field that matches your interests when selecting a specialization.,1.0,データ分析,1,2024-10-06,0.0,1.0
trend,トレンド、流行,trɛnd,最近、日本ではボブカットが大きなトレンドとなっています。,"Recently, the bob haircut has become a big trend in Japan.",1.0,データ分析,1,2024-10-06,0.0,1.0
japan,日本,dʒəˈpæn,私は来年、日本に旅行する予定です。,I am planning to travel to Japan next year.,2.0,認知科学,1,2024-10-06,,2.0
South Korea,韓国,saʊθ kəˈriə,I have never been to South Korea.,私は韓国に行ったことがありません。,1.0,認知科学,1,2024-10-06,0.0,1.0
image,イメージ、映像、画像,ˈɪmɪdʒ,彼は美しい風景のイメージを描いた。,He painted a beautiful image of the landscape.,1.0,データ分析,0,2024-10-06,0.0,1.0
